QOO,SKU,Description,QOH,Mfg Part #,Loc,Retail,Repl Cost,YTD Units,LYR Units
,35576839,Watch Bands - Silicone/Strap,10,WB23,00A01,9.99,4.9,2,3
,35576840,Watch Bands - Magnetic Mesh,5,WB24,00A01,14.99,7.5,,3
,37299000,12 PK - 10ft. iPhone Cable,82,EB1314-IP,00A01,9.99,3,5,9
,643122,"MESH TEA BALL SS 2""",,D2360,00A07,3.49,1.67,,
,643132,SNAP MESH TEA BALL,1,D2423,00A07,5.99,2.33,1,4
,6502694,COOKIE SPATULA BIG,2,191007558,00A07,11.99,5.61,,1
1,7006226,TANK SPRAYER ORTHO 2G,1,190629,00B09,38.99,24.93,5,13
,75979,PLANT STAKE STEEL 6'L,14,SS6,00B10,6.99,0.62,1,26
,7029746,"PLANT SAUCER RND CLR 8""",53,BV080S00C,00B10,1.79,0.19,13,59
,7503469,"GRAPHITE CLAY POT 5.9""",15,0115CPZ,00B10,4.99,1.53,4,8
,7503493,"GRAPHITE CLAY POT 4.3""",16,0111CPZ,00B10,2.99,0.91,3,17
,7503501,"GRAPHITE CLY SAUCER 4.3""",27,8711CPZ,00B10,2.99,0.81,5,16
,9019893,HAND BALM BLDYKNCKLS,5,1.5OZHAND1,00C00,8.99,5.23,4,12
,8096811,RAMBLER BOTTLE STRAW CAP,3,21070160011,00C02,14.99,10.13,4,25
,600476,SHAMROCK COOKIE CUTTER,,28-013,00C03,3.99,1.95,1,5
,600477,BUNNY COOKIE CUTTER,1,28-014,00C03,3.99,1.95,,5
,601473,WOOD THREE MINUTE TIMER,,1473,00C03,1.99,1.208,,
,601598,ENDURANCE SPICE SPOONS(SET OF 6),,DILL,00C03,12.99,7.886,,1
,605318,FROG COOKIE CUTTER,,28-024,00C03,3.99,2.116,,
,605646,DOG BISCUIT COOKIE CUTTER,2,28-035,00C03,3.99,2.415,1,3
,606729,SPOON PIERCED SS 9 IN,,6729,00C03,8.99,5,,
,610559,MONT'YS BERRY SPOON,,590,00C03,7.99,4,,
,610606,SMALL FLEX SPATULA -BLACK,2,FLX-1BK,00C03,5.99,2.75,1,7
,610608,MEDIUM FLEX SPATULA - GREEN,,FLX-2G,00C03,5.99,2.731,,
,625260,DISH TOWEL - NICE & NORMAL,,25260,00C03,9.99,4,,6
,626303,MELON BALLER,,26303PRO,00C03,5.99,3,,
,628011,PUMPKIN COOKIE CUTTER,4,28-011,00C03,3.99,1.95,,1
,698542,MIRROR MIRROR KRINK F/S,,A8542,00C03,7.99,3.818,,3
,698551,TIARA KRINDLE F/S,1,A8551,00C03,7.99,3.75,,5
,9490210,BASTING BRUSH BAMB/SILI,12,11-1839,00C03,5.99,1.88,3,9
,600107,COMPASS CACHET WHITE WINE 16 OZ,29,003-4585-539-4,00C04,15.99,7.5,7,14
,601253,COMPASS STMLS LO BALL 14 OZ,27,003-0012-539-4,00C04,14.99,6.5,1,23
,602006,VINTURI - RED WINE AERATOR,,1053,00C04,37.99,16.5,,
,602757,RUSTIC FH WOOD SLICE CHEESE BRD,,2757,00C04,39.99,24.99,1,
,604233,REAL HOUSEWIVS GL 12OZ WN TMB PK,,95080,00C04,24.99,12.5,,3
,604470,BOTTLE OPENER SUNGLASS BY FOSTER,,4470,00C04,19.99,8.49,,
,606029,NEED MORE WINE -DISTR TRCKER HAT,,MBW471,00C04,29.99,13,,
,607015,INSULATED BOTTLE - YOU GOT THIS,,107015,00C04,26.99,13.5,,
,609777,FLOUR SACK TOWEL-REAL HOUSEWIVES,16,10-777,00C04,15.99,7.5,9,30
,609778,WINE BAGS - BOOK CLUB RED,,,00C04,16,8,,
,610814,ADMIRAL MIXING GLASS,,10814,00C04,38.99,16.99,,
,614405,COCKTAIL SHAKER MAKER SS 18 OZ,,1440,00C04,17.99,9,,
,615278,WOOD&SS FISH CORKSCREW,,5278,00C04,23.99,10.29,,
,615401,GLOBE DECANTER&WHISKEY TUMBLER S,,5401,00C04,76.99,33.49,,
,625755,"S/2 5""Rnd x 4-1/2""H StonewareMo",1,AH0799,00C04,16.99,8.5,1,2
,628028,BIRD METAL COOKIE CUTTER,1,28-028,00C04,3.99,1.95,1,1
,630442,COASTER SET/4 SKYLINE ICE,,5208002,00C04,36.99,16,,1
,635149,DAD DEF TUMBLER SOY CANDLE 8 OZ,8,SI-DEFDAD52S,00C04,28.99,14,1,2
,637668,DAD JOKES 20 OZ TUMBLER BLACK,,37668,00C04,26.99,13.5,,
,637771,WINEY BITCH SFM - 12 OZ TUMBLER,,37771,00C04,28.99,12.5,,
,638367,VINTAGE AMERICA-UV 20 OZ TUMBLER,,38367,00C04,30.99,13.5,,
,639016,WINE BOTTLE LIGHTS - COLOR,4,39016,00C04,16.99,7,,
,640042,MARBLE & COPPER BOTTLE TOPPER,,4865055,00C04,11.99,5,,
,642539,COMPASS STEMLESS WINE 21 OZ,20,003-9542-539-4,00C04,14.99,6.5,1,15
,648024,PENQUIN COCKTAIL SHAKER (BX),1,48024,00C04,34.99,18,1,4
,650236,CAT BUTT - BOTTLE OPENER,,50236,00C04,11.99,5,,
,651971,ON THE ROCKS WHISKEY ROCK SET,,48600049R,00C04,21.99,9.5,,
,657264,AT THE BEACH LANTERN,,1004080231,00C04,28.99,14,,
,657341,THE SUN & SAND LANTERN,,1004080232,00C04,28.99,14,,
,660350,BEADED LAZY SUSAN,,41140007,00C04,46.99,26.13,,
,662301,ZIPSCREW WINE OPENER,,662301,00C04,59.99,25,,
,668396,CAN COOLER TRIO PEACH,,88600001PC,00C04,14.99,6,,
,670152,TEXTURED GLASS ICE BUCKET,,48600125,00C04,32.99,17.5,,
,675566,DRINK EMBOSSED DOF,,40350006D,00C04,8.99,3.75,,
,678122,RUSTIC BLOCK - BEER,,BEERBLOCK,00C04,9.99,5,,
,678123,RUSTIC BLOCK - BEER GLASS,1,BEERGLASSBLOCK,00C04,9.99,5,,
,678124,RUSTIC SQUARE BLOCK - ADD VODKA,,ADDVODKABLOCK,00C04,17.99,7.5,,1
,803186,RAMBLER 10 OZ WINETUMBLER BRKRED,,21071300070,00C04,24.99,14.218,,
,830015,RAMBLER 10 OZ WINETUMBLER PINK,,21071300150,00C04,24.99,14.99,,
,1004333,MMCD LQD HNDSP PLMBRY,3,11336,00C04,6.99,3.38,10,25
,1004336,MMCD LQD HNDSP ROSE,4,11401,00C04,6.99,3.38,12,24
,1025133,LQD HAND SOAP FCG 12.5OZ,7,11412,00C04,6.99,3.38,4,28
,2001908,MULTI-TOOL PIRATE SILVER,2,TOOL-PIRAT,00C04,16.99,4.93,,1
,2001913,MULTI-TOOL VOODOO BLK/WH,2,TOOL-VOODO,00C04,16.99,5.29,,1
,2004676,CRBNR MULTI-TOOL TX-REX,3,TOOL-TREX,00C04,18.99,8.28,,2
,6249429,5 IN 1 WINE BOTTLE TOOL,6,38400PF,00C04,9.99,3.9,1,8
,9023900,SHOWR SOAP LUMP OF COAL,3,BSBA-COAL10,00C04,9.99,5.97,,2
,9047491,MENS HAND CREAM 1OZ,2,C33213-8,00C04,6.99,2.08,,5
,9149436,MMCD LQD HNDSP LAV,12,11104,00C04,6.99,3.38,9,31
,9472192,MMCD LQD HNDSP LLC12.5OZ,7,70057,00C04,6.99,3.38,21,37
,9608159,DUKE LIP BALM ORNG MINT,4,CBALM1401,00C04,8.99,5.41,1,15
,9900143,HANDSOAP LIQ DAISY12.5OZ,10,11432,00C04,6.99,3.38,17,23
,63543,CANDLE ADHESIVE 0.5OZ,3,3100,00C05,3.59,1.35,4,19
,600007,2-IN-1 CLASSIC WARMER RUSTIC WHT,,CWDRW,00C05,20.99,9,,
,600417,GRMT DUKE SHAVING CREAM,,SHAVE1,00C05,11.99,7.46,,
,600475,SPREADER WD/SS,,475PRO,00C05,5.99,2.305,,
,600581,WAX SCENT MELT OCEAN TIDE,,SWC1480,00C05,3.99,1.526,,
,600818,WAX SCENTE MELT LAVENDER VANILLA,,SWC1505,00C05,3.99,1.75,,
,600832,CHAI FRAGRANCE WARMER,,PICHA,00C05,12.99,6.16,,
,600915,CONCENTRATE ROSEM&PEPPRM MELT,,8110S,00C05,3.59,1.5,,
,600916,HAPPINESS AROM MELT,,8350S,00C05,3.59,1.5,,
,600917,BLESS THIS HOUSEFRAGRANCE WARMER,,RWBTHC,00C05,18.99,9.158,1,1
,600942,MASON JAR FRAG WARMER HOME-SWEET,,PIMAJ,00C05,12.99,4.95,,
,602412,"SLOTTED ROUND SPOON 11.5""",,2412,00C05,4.99,2.5,,
,602446,WX SCNT MELT SPICED APPLE,,7040S,00C05,3.99,1.733,,
,602465,WAX SCENTED MELT FRESH LINEN,,7360S,00C05,2.99,1.526,,
,602467,WAX SCENTED MELT PUMPKIN SPICE,,7740S,00C05,2.99,1.526,,
,602579,MASON JAR EDISON BULB ILLUMINATI,,EBMAS,00C05,24.99,11,,
,602600,BRONZE LEAF CLASSIC COLLECTION,,CWDLEA,00C05,17.99,8,,1
,602714,BIRTHDAY CAKE ARTISAN MELTS,,3025S,00C05,3.99,1.75,,
,602730,CITRUS GROVE ARTISAN MELTS,,3100S,00C05,3.99,1.75,,
,603205,WAX SCENTED MELT WHITE PEONY,,7970S,00C05,3.49,1.526,,
,603214,10 IN CLASSIC-ORCHID,,NCC10.3214,00C05,3.99,1.85,,
,603285,PLUGGABLE FRAGR WARMER FROSTY,,PIMAN,00C05,11.99,5,,
,603431,PERENNIAL PLUGGABLE FRAG. WARMER,,PIPNL,00C05,9.99,5,,
,603432,NEW OWL FRAGRANCE WARMER,,RWOW2,00C05,20.99,9,,
,603617,WAX SCENTED MELT SPICED PEAR,,7788S,00C05,2.99,1.526,,
,603811,WAX SCENTED MELT CLARITY,,8100,00C05,2.99,1.526,,
,603813,WAX SCENTED MELT GROUNDING,,8300,00C05,2.99,1.526,,
,603814,WAX SCENTED MELT PURIFY,,8750,00C05,2.99,1.526,,
,603815,WAX SCENTED MELT REFRESH,,8800,00C05,2.99,1.526,,
,603816,WAX SCENTED MELT RELAX,,8815,00C05,2.99,1.526,,
,604459,ARMY MAN BOTTLE OPENER,,4459,00C05,13.99,7.49,,
,604635,GRMT DUKE COOLING SOAP,,CUBES1,00C05,9.99,4.98,,
,604656,FLASK -ADMIRAL WOOD PANEL,,4656,00C05,28.99,17.025,,
,607253,WX SCNT MELT COZY CASHMERE,,7253S,00C05,3.99,1.733,,
,607450,WAX SCENTED MELT-HOLLY&IVY,,7450S,00C05,2.99,1.81,,
,607460,WX SCNT MELT HOT APPLE PIE,,7460S,00C05,3.99,1.733,,
,607540,WX SCNT MELT MACINTOSH APPLE,,7540S,00C05,3.99,1.733,,
,607650,HOME FOR CHRISTMAS WAX MELT,,7965S,00C05,3.99,1.733,,
,607780,WX SCNT MELT SERENE WOODS,,7780S,00C05,3.99,1.733,,
,608186,PLUGGABLE FRAG WARM PINEAPPLE PO,,PIPIN,00C05,11.99,5,,
,608261,3X4 SMOOTH PILLAR-WHITE UNSCENT,3,NFFT34.02,00C05,12.99,6.32,,7
,608263,3X6 SMOOTH PILLAR - WHITE,5,NFFT36.02,00C05,15.99,6.75,,9
,608270,10 IN HANDIPT WHITE,53,NAA10.02,00C05,3.99,1.85,10,16
,608271,12 IN HANDIPT WHITE,27,NAA12.02,00C05,3.99,2.09,18,27
,608275,8 IN CLASSIC WHITE,66,NCC08.02,00C05,3.99,1.59,13,49
,608276,10 IN CLASSIC-WHITE,54,NCC10.02,00C05,3.99,1.79,6,42
,608277,12 IN CLASSIC-WHITE,50,NCC12.02,00C05,3.99,1.94,4,19
,608317,10 IN HANDIPT IVORY,30,NAA10.372,00C05,3.99,1.79,,18
,608318,12 IN HANDIPT IVORY,43,NAA12.372,00C05,3.99,2.09,12,75
,608322,8 IN CLASSIC IVORY,52,NCC08.372,00C05,3.99,1.59,7,39
,608323,10 IN CLASSIC IVORY,64,NCC10.372,00C05,3.99,1.85,8,14
,608324,12 IN CLASSIC IVORY,216,NCC12.372,00C05,3.99,1.94,2,6
,608335,10 IN HANDIPT MULBERRY WAX,13,NAA10.445,00C05,3.99,1.79,4,12
,608366,10 IN CLASSIC COLONIAL GREEN,10,NCC10.809,00C05,3.99,1.79,16,23
,608377,10 IN CLASSIC COASTAL BLUE,18,NCC10.920,00C05,3.99,1.85,4,10
,608421,2-IN-1 DELX WARMER LAND & SEA,,DWDLAS,00C05,28.99,12.5,,
,608462,10 IN HANDIPT LIMONCELLO WAX,1,NAA10.1190,00C05,3.99,1.85,8,24
,608465,8 IN CLASSIC LIMONCEL,14,NCC08.1190,00C05,3.99,1.71,16,18
,608466,10 IN CLASSIC LIMONCELLO WAX,37,NCC10.1190,00C05,3.99,1.85,,13
,608511,10 IN HANDIPT EVERGREEN WAX,8,NAA10.1290,00C05,3.99,1.85,4,19
,608515,8 IN CLASSIC EVERGREEN,39,NCC08.1290,00C05,3.99,1.59,2,30
,608516,10 IN CLASSIC EVERGREEN WAX,20,NCC10.1290,00C05,3.99,1.85,4,17
,608532,10 IN CLASSIC WHEAT,24,NCC10.1340,00C05,3.99,1.85,2,27
,608682,10 IN HANDIPT INDIGO,21,NAA10.1479,00C05,3.99,1.85,16,19
,608683,12 IN HANDIPT INDIGO,21,NAA12.1479,00C05,3.99,2.09,9,10
,608685,8 IN CLASSIC INDIGO,16,NCC08.1479,00C05,3.99,1.71,18,23
,608686,10 IN CLASSIC INDIGO BLUE,,NCC10.1479,00C05,3.99,1.85,,
,608720,10 IN HANDIPT RED,27,NAA10.20,00C05,3.99,1.85,4,28
,608725,8 IN CLASSIC RED,16,NCC08.20,00C05,3.99,1.59,2,28
,608726,10 IN CLASSIC RED,36,NCC10.20,00C05,3.99,1.85,,29
,608727,12 IN CLASSIC RED WAX,9,NCC12.20,00C05,3.99,2.09,4,2
,608734,10 IN HANDIPT AMBER,1,NAA10.1659,00C05,3.99,1.49,,
,608742,8 IN CLASSIC AMBER,5,NCC08.1659,00C05,3.99,1.59,2,28
,608743,10 IN CLASSIC AMBER,49,NCC10.1659,00C05,3.99,1.85,5,29
,608744,10 IN CLASSIC WILLOW GREEN,1,NCC10.1622,00C05,3.99,1.85,16,14
,610220,SCOOP - MEDIUM,,SCOOP-MD,00C05,19.99,11,,2
,610230,VOTIVE-FRAGRANCE FREE-WHITE,,NC015.02,00C05,1.99,1,,
,610610,FLEX NYLON SPATULA - MED RED,,FLX-2R,00C05,6.99,2.75,,1
,610611,MEDIUM FLEX SPATULA - BLACK,,FLX-2BK,00C05,5.99,2.276,,
,610719,END OVAL MEASURING SCOOP 1/2 CUP,2,OMS-2,00C05,12.99,6.5,,4
,611613,CANDLE ORCHID AND AMBER 3.5H 7OZ,,CD1011CH,00C05,16.99,8.5,,
,612539,MEOW MEASURE SPOONS,,12539PRO,00C05,5.99,2.5,,
,614619,WAX BUTTONS,,CC41100,00C05,1.99,2,,
,615728,MEASURING SPOONS W/COPPER FINISH,,DA9823,00C05,8.99,4.25,,
,615908,BOTTLE OPENER LEATHER KEY HOLDER,,5908,00C05,12.99,7.405,,1
,620044,10 IN CLASSIC WEDGWOOD,8,NCC10.1768,00C05,3.99,1.79,10,12
,620290,MATCHBOX -FLOWERS IN VASE,1,DF1526A,00C05,5.99,3,1,
,624698,VANILLA CINN STICK ARTISAN MELTS,,7900S,00C05,3.99,1.75,,
,625172,PLUGGABLE FRAGR WARMER PIMCG,,PIMCG,00C05,11.99,5,,
,626240,BRAVE & BEAUTIFUL CANDLE 9 OZ,,BB-PBS-101,00C05,24.99,12.45,,
,628100,AMISH HARVEST 4 OZ SMALL,,628100,00C05,9.99,5.58,,
,628101,AMISH HARVEST 16 OZ LARGE,,628101,00C05,22.99,12.72,,
,628102,JACK FROST 4 OZ SMALL,2,628104,00C05,9.99,5.58,,10
